hearing_id,person_id,role
19196,1836,COMMMEMBER
19196,2442,COMMMEMBER
19196,5396,COMMMEMBER
19196,5134,COMMMEMBER
19196,182,COMMMEMBER
19196,14903,COMMMEMBER
19196,18905,COMMMEMBER
19196,24028,COMMMEMBER
19196,4622,COMMMEMBER
19196,27586,COMMMEMBER
19196,11538,COMMMEMBER
19196,25615,COMMMEMBER
19196,27291,COMMMEMBER
19196,24982,COMMMEMBER
19196,30615,COMMMEMBER
19196,34505,COMMMEMBER
19196,136,COMMMEMBER
19196,2437,COMMMEMBER
19197,1836,COMMMEMBER
19197,2442,COMMMEMBER
19197,5396,COMMMEMBER
19197,5134,COMMMEMBER
19197,182,COMMMEMBER
19197,14903,COMMMEMBER
19197,18905,COMMMEMBER
19197,24028,COMMMEMBER
19197,4622,COMMMEMBER
19197,27586,COMMMEMBER
19197,11538,COMMMEMBER
19197,25615,COMMMEMBER
19197,27291,COMMMEMBER
19197,24982,COMMMEMBER
19197,31144,COMMMEMBER
19197,34059,COMMMEMBER
19197,136,COMMMEMBER
19197,2437,COMMMEMBER
19198,1836,COMMMEMBER
19198,2442,COMMMEMBER
19198,5396,COMMMEMBER
19198,5134,COMMMEMBER
19198,182,COMMMEMBER
19198,14903,COMMMEMBER
19198,18905,COMMMEMBER
19198,24028,COMMMEMBER
19198,4622,COMMMEMBER
19198,27586,COMMMEMBER
19198,11538,COMMMEMBER
19198,25615,COMMMEMBER
19198,27291,COMMMEMBER
19198,24982,COMMMEMBER
19198,31144,COMMMEMBER
19198,34059,COMMMEMBER
19198,136,COMMMEMBER
19198,2437,COMMMEMBER
19199,1836,COMMMEMBER
19199,2442,COMMMEMBER
19199,5396,COMMMEMBER
19199,5134,COMMMEMBER
19199,182,COMMMEMBER
19199,14903,COMMMEMBER
19199,18905,COMMMEMBER
19199,24028,COMMMEMBER
19199,4622,COMMMEMBER
19199,27586,COMMMEMBER
19199,11538,COMMMEMBER
19199,25615,COMMMEMBER
19199,27291,COMMMEMBER
19199,24982,COMMMEMBER
19199,31144,COMMMEMBER
19199,34059,COMMMEMBER
19199,136,COMMMEMBER
19199,2437,COMMMEMBER
19200,1836,COMMMEMBER
19200,2442,COMMMEMBER
19200,5396,COMMMEMBER
19200,5134,COMMMEMBER
19200,182,COMMMEMBER
19200,14903,COMMMEMBER
19200,18905,COMMMEMBER
19200,24028,COMMMEMBER
19200,4622,COMMMEMBER
19200,27586,COMMMEMBER
19200,11538,COMMMEMBER
19200,25615,COMMMEMBER
19200,27291,COMMMEMBER
19200,24982,COMMMEMBER
19200,30615,COMMMEMBER
19200,34505,COMMMEMBER
19200,136,COMMMEMBER
19200,2437,COMMMEMBER
19201,1836,COMMMEMBER
19201,2442,COMMMEMBER
19201,5396,COMMMEMBER
19201,5134,COMMMEMBER
19201,182,COMMMEMBER
19201,14903,COMMMEMBER
19201,18905,COMMMEMBER
19201,24028,COMMMEMBER
19201,4622,COMMMEMBER
19201,27586,COMMMEMBER
19201,11538,COMMMEMBER
19201,25615,COMMMEMBER
19201,27291,COMMMEMBER
19201,24982,COMMMEMBER
19201,30615,COMMMEMBER
19201,34505,COMMMEMBER
19201,136,COMMMEMBER
19201,2437,COMMMEMBER
19202,1836,COMMMEMBER
19202,2442,COMMMEMBER
19202,5396,COMMMEMBER
19202,5134,COMMMEMBER
