committee_id,subcommitee_id,type,committee_name,subcommittee_name,chamber,congress_session,committee_session
1,1,S,Committee on Appropriations,Subcommittee on the Department of the Interior and Related Agencies,HOUSE,105,1
2,2,S,Committee on Banking and Financial Services,"Subcommittee on Capital Markets, Securities and Government Sponsored Enterprises",HOUSE,105,1
3,3,S,Committee on Commerce,Subcommittee on Health and Environment and Oversight and Investigations,HOUSE,105,2
4,4,S,Committee on District of Columbia District of Columbia,Subcommittee on Health and Environment and Oversight and Investigations,HOUSE,104,1
5,5,S,Committee on Government Reform and Oversight,"Subcommittee on National Security, International Affairs, and Criminal Justice",HOUSE,105,1
6,6,S,Committee on International Relations International Relations,Subcommittee on Human Resources,HOUSE,105,2
7,7,S,Committee on Resources,Subcommittee on National Parks and Public Lands,HOUSE,105,1
8,8,S,Committee on Rules,Subcommittee on Legislative and Budget Process,HOUSE,105,2
9,9,S,Committee on Transportation and Infrastructure Transportation,Subcommittee on Legislative and Budget Process,HOUSE,105,2
10,10,S,Committee on Science,Subcommittee on Technology,HOUSE,105,1
11,11,S,Committee on Small Business Small Business,Subcommittee on Technology,HOUSE,105,1
12,12,S,Committee on the Judiciary Judiciary,Subcommittee on Government Programs and Oversight,HOUSE,105,2
13,13,S,Committee on Veterans' Affairs,Subcommittee on Oversight and Investigations,HOUSE,105,1
14,14,S,Committee on Ways and Means,Subcommittee on Human Resources,HOUSE,105,2
15,15,S,Committee on Appropriations Appropriations,"Subcommittee on National Security, International Affairs, and Criminal Justice",SENATE,105,2
16,16,S,Committee on Energy and Natural Resources Energy and Natural Resources,Subcommittee on the Department,SENATE,105,2
17,17,S,Committee on Environment and Public Works Environment and Public Works,Subcommittee on the Department,SENATE,105,1
18,18,S,Committee on Finance Finance,"Subcommittee on Clean Air, Wetlands, Private Property and Nuclear Safety",SENATE,105,2
19,19,S,Committee on Foreign Relations,Subcommittee on East Asian and Pacific Affairs,SENATE,105,2
20,20,S,Committee on Governmental Affairs,"Subcommittee on International Security, Proliferation, and Federal Services",SENATE,105,1
21,21,S,Committee on Rules and Administration Rules and Administration,"Subcommittee on International Security, Proliferation, and Federal Services",SENATE,106,1
22,22,S,Committee on Appropriations,Subcommittee on the Department of the Interior and Related Agencies,HOUSE,106,2
23,23,S,Committee on Armed Services,Subcommittee on the Civil Service,HOUSE,106,2
24,24,S,Committee on Commerce,Subcommittee on Health and Environment,HOUSE,106,1
25,25,S,Committee on Education and the Workforce Education and the Workforce,"Subcommittee on Telecommunications, Trade, and Consumer Protection",HOUSE,106,2
26,26,S,Committee on Energy and Commerce Energy and Commerce,"Subcommittee on Telecommunications, Trade, and Consumer Protection",HOUSE,104,1
27,27,S,Committee on Government Reform,"Subcommittee on Government Management, Information, and Technology",HOUSE,106,2
28,28,S,Committee on International Relations,Subcommittee on International Economic Policy and Trade,HOUSE,106,1
