constituency_id,state_name,state_abbreviation,district
1,Alaska,AK,0
2,Alaska,AK,STATE
3,Alabama,AL,4
4,Alabama,AL,3
5,Alabama,AL,1
6,Alabama,AL,6
7,Alabama,AL,2
8,Alabama,AL,5
9,Alabama,AL,7
10,Alabama,AL,STATE
11,Arkansas,AR,3
12,Arkansas,AR,4
13,Arkansas,AR,1
14,Arkansas,AR,2
15,Arkansas,AR,STATE
16,American Samoa,AS,TERRITORY
17,Arizona,AZ,3
18,Arizona,AZ,5
19,Arizona,AZ,4
20,Arizona,AZ,6
21,Arizona,AZ,1
22,Arizona,AZ,2
23,Arizona,AZ,8
24,Arizona,AZ,7
25,Arizona,AZ,9
26,Arizona,AZ,STATE
27,California,CA,21
28,California,CA,49
29,California,CA,47
30,California,CA,45
31,California,CA,28
32,California,CA,52
33,California,CA,39
34,California,CA,23
35,California,CA,1
36,California,CA,19
37,California,CA,25
38,California,CA,27
39,California,CA,41
40,California,CA,40
41,California,CA,4
42,California,CA,43
43,California,CA,51
44,California,CA,11
45,California,CA,48
46,California,CA,44
47,California,CA,38
48,California,CA,15
49,California,CA,2
50,California,CA,14
51,California,CA,50
52,California,CA,24
53,California,CA,20
54,California,CA,10
55,California,CA,34
56,California,CA,13
57,California,CA,18
58,California,CA,42
59,California,CA,7
60,California,CA,29
61,California,CA,26
62,California,CA,36
63,California,CA,37
64,California,CA,32
65,California,CA,46
66,California,CA,33
67,California,CA,6
68,California,CA,31
69,California,CA,35
70,California,CA,8
71,California,CA,5
72,California,CA,9
73,California,CA,17
74,California,CA,12
75,California,CA,3
76,California,CA,22
77,California,CA,30
78,California,CA,16
79,California,CA,53
80,California,CA,STATE
81,Colorado,CO,4
82,Colorado,CO,6
83,Colorado,CO,5
84,Colorado,CO,3
85,Colorado,CO,2
86,Colorado,CO,1
87,Colorado,CO,7
88,Colorado,CO,STATE
89,Connecticut,CT,4
90,Connecticut,CT,6
91,Connecticut,CT,1
92,Connecticut,CT,5
93,Connecticut,CT,3
94,Connecticut,CT,2
95,Connecticut,CT,STATE
96,District of Columbia,DC,TERRITORY
97,Delaware,DE,0
98,Delaware,DE,STATE
99,Florida,FL,8
100,Florida,FL,10
101,Florida,FL,12
102,Florida,FL,6
103,Florida,FL,13
104,Florida,FL,15
105,Florida,FL,22
106,Florida,FL,18
107,Florida,FL,1
108,Florida,FL,7
109,Florida,FL,21
110,Florida,FL,16
111,Florida,FL,9
112,Florida,FL,14
113,Florida,FL,4
114,Florida,FL,23
115,Florida,FL,2
116,Florida,FL,17
117,Florida,FL,3
118,Florida,FL,11
119,Florida,FL,5
120,Florida,FL,20
121,Florida,FL,19
122,Florida,FL,25
123,Florida,FL,24
124,Florida,FL,27
125,Florida,FL,26
126,Florida,FL,STATE
127,Georgia,GA,7
128,Georgia,GA,10
129,Georgia,GA,1
130,Georgia,GA,11
131,Georgia,GA,6
132,Georgia,GA,3
133,Georgia,GA,9
134,Georgia,GA,8
135,Georgia,GA,4
136,Georgia,GA,5
137,Georgia,GA,2
138,Georgia,GA,12
139,Georgia,GA,13
140,Georgia,GA,14
141,Georgia,GA,STATE
142,Guam,GU,TERRITORY
143,Hawaii,HI,1
144,Hawaii,HI,2
145,Hawaii,HI,STATE
146,Iowa,IA,4
147,Iowa,IA,1
148,Iowa,IA,2
149,Iowa,IA,5
150,Iowa,IA,3
151,Iowa,IA,STATE
152,Idaho,ID,1
153,Idaho,ID,2
154,Idaho,ID,STATE
155,Illinois,IL,16
156,Illinois,IL,13
157,Illinois,IL,6
158,Illinois,IL,14
159,Illinois,IL,11
160,Illinois,IL,10
161,Illinois,IL,20
162,Illinois,IL,8
163,Illinois,IL,18
164,Illinois,IL,15
165,Illinois,IL,1
166,Illinois,IL,7
167,Illinois,IL,19
168,Illinois,IL,12
169,Illinois,IL,2
170,Illinois,IL,17
171,Illinois,IL,4
172,Illinois,IL,5
173,Illinois,IL,9
174,Illinois,IL,3
175,Illinois,IL,STATE
176,Indiana,IN,6
177,Indiana,IN,2
178,Indiana,IN,7
179,Indiana,IN,8
180,Indiana,IN,4
181,Indiana,IN,5
182,Indiana,IN,10
183,Indiana,IN,9
184,Indiana,IN,1
185,Indiana,IN,3
186,Indiana,IN,STATE
187,Kansas,KS,1
188,Kansas,KS,2
189,Kansas,KS,4
190,Kansas,KS,3
191,Kansas,KS,STATE
192,Kentucky,KY,3
193,Kentucky,KY,1
194,Kentucky,KY,5
195,Kentucky,KY,4
196,Kentucky,KY,2
197,Kentucky,KY,6
198,Kentucky,KY,STATE
199,Louisiana,LA,1
200,Louisiana,LA,4
201,Louisiana,LA,5
202,Louisiana,LA,6
203,Louisiana,LA,3
204,Louisiana,LA,7
205,Louisiana,LA,2
206,Louisiana,LA,STATE
207,Massachusetts,MA,4
208,Massachusetts,MA,7
209,Massachusetts,MA,3
210,Massachusetts,MA,6
211,Massachusetts,MA,9
