constituency_id,congress,census_district_id,land_sqm,population_total,population_per_sqm,density_quintile
1,111,200,570640.95,713985,1.251198324,1
1,112,200,570838.98,722718,1.266062805,1
1,113,200,570640.95,735132,1.288256652,1
1,114,200,570600.852,738432,1.29413056,1
5,113,101,6066.835,695176,114.5862711,2
5,114,101,6066.83,706302,116.4202722,2
5,111,101,6304.328,689835,109.4224476,2
5,112,101,6304.34,693871,110.0624332,2
7,111,102,10483.758,666779,63.60114379,1
7,112,102,10483.793,675534,64.43602998,1
7,114,102,10141.613,686622,67.7034314,1
7,113,102,10141.634,690074,68.04367028,1
4,113,103,7543.861,697761,92.49388344,2
4,111,103,7818.685,690081,88.26049393,2
4,114,103,7544.021,703986,93.31707852,2
4,112,103,7818.777,683940,87.47403846,2
3,113,104,8888.772,685175,77.08320114,1
3,114,104,8889.225,684685,77.02415002,1
3,111,104,8357.668,659152,78.86793302,1
3,112,104,8358.147,663272,79.35634537,1
8,111,105,4466.522,719906,161.1782053,2
8,113,105,3677.312,701220,190.6881983,3
8,112,105,4466.552,724822,162.277748,2
8,114,105,3677.339,708972,192.7948443,3
6,113,106,4170.783,697436,167.2194406,2
6,114,106,4170.865,700691,167.9965667,2
6,111,106,4550.418,747579,164.2879841,2
6,112,106,4550.45,756153,166.171038,2
9,111,107,8663.947,611966,70.63362691,1
9,112,107,8663.965,605148,69.84654255,1
9,114,107,10156.057,667721,65.7460863,1
9,113,107,10156.129,666880,65.66281307,1
13,111,501,17165.277,688562,40.11365503,1
13,112,501,17165.604,689463,40.16537956,1
13,113,501,19318.286,729971,37.78653034,1
13,114,501,19318.642,722402,37.39403629,1
14,111,502,5908.105,753672,127.5657762,2
14,112,502,5908.124,761152,128.8314192,2
14,113,502,4978.122,751463,150.9531104,2
14,114,502,4979.689,761348,152.8906725,2
11,111,503,8468.016,825495,97.48387344,2
11,112,503,8468.073,835605,98.67711344,2
11,113,503,5400.989,757765,140.301156,2
11,114,503,5399.015,782717,144.9740369,2
12,111,504,20494.079,653877,31.90565431,1
12,112,504,20494.181,651759,31.80214911,1
12,113,504,22338.081,720174,32.23974342,1
12,114,504,22338.264,711737,31.86178657,1
21,111,401,58573.066,781608,13.34415378,1
21,114,401,55039.334,759663,13.80218373,1
21,113,401,55039.609,723969,13.15359998,1
21,112,401,58573.035,782847,13.36531392,1
22,112,402,20221.884,977812,48.3541494,1
22,114,402,7838.151,713631,91.04583466,2
22,113,402,7838.122,717970,91.599748,2
22,111,402,20222.31,984825,48.69992597,1
17,111,403,598.057,691893,1156.901432,4
