person_id,full_name,first_name,middle_name,surname,honorific,gpo_id,bio_guide_id
1,martin olav sabo,martin,olav,sabo,,1007,S000005
2,david e. skaggs,david,e.,skaggs,,1062,S000462
3,joe skeen,joe,,skeen,,1063,S000463
4,louis stokes,louis,,stokes,,1115,S000948
5,charles h. taylor,charles,h.,taylor,,1141,T000067
6,zach wamp,zach,,wamp,,5639,W000119
7,frank r. wolf,frank,r.,wolf,,8201,W000672
8,sidney r. yates,sidney,r.,yates,,1252,Y000013
9,tom delay,tom,,delay,,282,D000217
10,norman d. dicks,norman,d.,dicks,,8210,D000327
11,julian c. dixon,julian,c.,dixon,,301,D000373
12,vic fazio,vic,,fazio,,374,F000053
13,jim kolbe,jim,,kolbe,,645,K000306
14,jerry lewis,jerry,,lewis,,7846,L000274
15,bob livingston,bob,,livingston,,696,L000371
16,joseph m. mcdade,joseph,m.,mcdade,,765,M000399
17,dan miller,dan,,miller,,807,M000720
18,james p. moran,james,p.,moran,,8199,M000933
19,john p. murtha,john,p.,murtha,,5619,M001120
20,george r. nethercutt jr.,george,r.,nethercutt,jr.,860,N000051
21,david r. obey,david,r.,obey,,5709,O000007
22,john edward porter,john,edward,porter,,923,P000444
23,ralph regula,ralph,,regula,,5595,R000141
24,harold rogers,harold,,rogers,,7957,R000395
25,marcy kaptur,marcy,,kaptur,,8099,K000009
26,jack kingston,jack,,kingston,,636,
27,jim kolbe,jim,,kolbe,,645,K000306
28,jerry lewis,jerry,,lewis,,7846,L000274
29,bob livingston,bob,,livingston,,696,L000371
30,roger f. wicker,roger,f.,wicker,,8263,W000437
30,jim kolbe,jim,,kolbe,,645,K000306
31,joseph m. mcdade,joseph,m.,mcdade,,765,M000399
32,rosa l. delauro,rosa,l.,delauro,,7868,D000216
32,jerry lewis,jerry,,lewis,,7846,L000274
33,jay dickey,jay,,dickey,,295,D000312
33,bob livingston,bob,,livingston,,696,L000371
34,david r. obey,david,r.,obey,,5709,O000007
35,michael p. forbes,michael,p.,forbes,,398,F000257
35,joseph m. mcdade,joseph,m.,mcdade,,765,M000399
36,ron packard,ron,,packard,,886,P000005
37,david l. hobson,david,l.,hobson,,5586,H000666
37,dan miller,dan,,miller,,807,M000720
38,nancy pelosi,nancy,,pelosi,,7813,P000197
39,henry bonilla,henry,,bonilla,,107,B000617
39,ernest j. istook jr.,ernest,j.,istook,jr.,586,I000047
39,james p. moran,james,p.,moran,,8199,M000933
40,estaban edward torres,estaban,edward,torres,,1162,T000316
40,marcy kaptur,marcy,,kaptur,,8099,K000009
40,john p. murtha,john,p.,murtha,,5619,M001120
41,peter j. visclosky,peter,j.,visclosky,,7940,V000108
41,jack kingston,jack,,kingston,,636,
41,david r. obey,david,r.,obey,,5709,O000007
42,david r. obey,david,r.,obey,,5709,O000007
43,john w. olver,john,w.,olver,,7966,O000085
44,ron packard,ron,,packard,,886,P000005
45,mike parker,mike,,parker,,889,P000066
46,ed pastor,ed,,pastor,,7801,P000099
47,james t. walsh,james,t.,walsh,,5575,W000099
47,joe knollenberg,joe,,knollenberg,,5484,K000288
47,john w. olver,john,w.,olver,,7966,O000085
47,john edward porter,john,edward,porter,,923,P000444
48,sonny callahan,sonny,,callahan,,164,C000052
48,tom latham,tom,,latham,,7917,L000111
48,ron packard,ron,,packard,,886,P000005
48,ralph regula,ralph,,regula,,5595,R000141
49,thomas m. foglietta,thomas,m.,foglietta,,395,F000235
49,nita m. lowey,nita,m.,lowey,,8079,L000480
49,mike parker,mike,,parker,,889,P000066
49,harold rogers,harold,,rogers,,7957,R000395
50,rodney p. frelinghuysen,rodney,p.,frelinghuysen,,8053,F000372
50,carrie p. meek,carrie,p.,meek,,789,M000628
50,ed pastor,ed,,pastor,,7801,P000099
51,jose e. serrano,jose,e.,serrano,,8077,S000248
51,steny h. hoyer,steny,h.,hoyer,,7980,H000874
51,alan b. mollohan,alan,b.,mollohan,,5711,M000844
51,nancy pelosi,nancy,,pelosi,,7813,P000197
52,todd tiahrt,todd,,tiahrt,,5442,T000260
53,robert e. (bud) cramer jr.,robert,e.,cramer,jr.,5280,C000868
54,chet edwards,chet,,edwards,,7593,E000063
55,anne m. northup,anne,m.,northup,,1508,N000143
56,david e. price,david,e.,price,,8027,P000523
57,"robert e. (bud) cramer, jr.",,,,,,
58,robert b. aderholt,robert,b.,aderholt,,7789,A000055
59,mark w. neumann,mark,w.,neumann,,861,N000054
60,bernard sanders,bernard,,sanders,,8270,S000033
61,joe scarborough,joe,,scarborough,,1025,S000106
62,steven schiff,steven,,schiff,,1030,S000125
63,john b. shadegg,john,b.,shadegg,,7433,S000275
64,christopher shays,christopher,,shays,,5359,S001144
65,mark e. souder,mark,e.,souder,,5432,S001143
66,edolphus towns,edolphus,,towns,,8071,T000326
67,henry a. waxman,henry,a.,waxman,,7835,W000215
68,robert e. wise jr.,robert,e.,wise,jr.,1237,W000654
69,thomas h. allen,thomas,h.,allen,,5474,A000357
70,rod r. blagojevich,rod,r.,blagojevich,,1463,B000518
71,danny k. davis,danny,k.,davis,,7927,D000096
72,harold e. ford jr.,harold,e.,ford,jr.,1483,F000262
73,dennis j. kucinich,dennis,j.,kucinich,,8100,K000336
74,michael pappas,michael,,pappas,,1509,P000049
75,pete sessions,pete,,sessions,,8188,S000250
76,vince snowbarger,vince,,snowbarger,,1529,S000662
77,john e. sununu,john,e.,sununu,,5796,S001078
78,john f. tierney,john,f.,tierney,,7971,T000266
79,jim turner,jim,,turner,,1536,T000424
80,dan burton,dan,,burton,,7944,B001149
81,gary a. condit,gary,a.,condit,,226,C000670
82,christopher cox,christopher,,cox,,242,C000830
83,elijah e. cummings,elijah,e.,cummings,,7982,C000984
84,tom davis,tom,,davis,,5691,D000136
85,chaka fattah,chaka,,fattah,,8120,F000043
86,benjamin a. gilman,benjamin,a.,gilman,,440,G000212
87,stephen horn,stephen,,horn,,559,H000789
88,bob barr,bob,,barr,,56,
89,thomas m. barrett,thomas,m.,barrett,,58,B000177
90,paul e. kanjorski,paul,e.,kanjorski,,7549,K000008
91,tom lantos,tom,,lantos,,663,L000090
92,steven c. latourette,steven,c.,latourette,,8104,L000553
93,carolyn b. maloney,carolyn,b.,maloney,,8075,M000087
94,john m. mchugh,john,m.,mchugh,,5573,M000472
95,david m. mcintosh,david,m.,mcintosh,,776,M000481
96,john l. mica,john,l.,mica,,7879,M000689
97,constance a. morella,constance,a.,morella,,833,M000941
98,major r. owens,major,r.,owens,,883,O000159
99,rob portman,rob,,portman,,8266,P000449
100,ileana ros-lehtinen,ileana,,ros-lehtinen,,7890,R000435
101,eleanor holmes norton,eleanor,holmes,norton,,7871,N000147
102,jim saxton,jim,,saxton,,5534,S000097
103,linda smith,linda,,smith,,1078,S000587
104,robert smith,robert,,smith,,1083,S000607
105,mac thornberry,mac,,thornberry,,8755,T000238
106,bruce f. vento,bruce,f.,vento,,1185,V000087
107,don young,don,,young,,7785,Y000033
108,kevin brady,kevin,,brady,,8164,B000755
109,chris cannon,chris,,cannon,,5680,C000116
110,william d. delahunt,william,d.,delahunt,,7396,D000210
111,jim gibbons,jim,,gibbons,,1485,G000152
112,rick hill,rick,,hill,,1489,H000605
113,christopher john,christopher,,john,,1495,J000110
114,ron kind,ron,,kind,,8216,K000188
115,john e. peterson,john,e.,peterson,,5612,P000263
116,bob schaffer,bob,,schaffer,,1524,S000112
117,adam smith,adam,,smith,,8213,S000510
118,ken calvert,ken,,calvert,,7849,C000059
119,mike crapo,mike,,crapo,,8289,C000880
120,barbara cubin,barbara,,cubin,,5714,C000962
121,peter a. defazio,peter,a.,defazio,,8117,D000191
122,neil abercrombie,neil,,abercrombie,,5402,A000014
123,lloyd doggett,lloyd,,doggett,,8181,D000399
124,calvin m. dooley,calvin,m.,dooley,,306,D000424
125,john t. doolittle,john,t.,doolittle,,5299,D000429
126,john j. duncan jr.,john,j.,duncan,jr.,322,
127,john ensign,john,,ensign,,8329,E000194
128,sam farr,sam,,farr,,7822,F000030
129,elton gallegly,elton,,gallegly,,7829,G000021
130,wayne t. gilchrest,wayne,t.,gilchrest,,5466,G000180
131,james v. hansen,james,v.,hansen,,498,H000172
132,joel hefley,joel,,hefley,,524,H000444
133,maurice d. hinchey,maurice,d.,hinchey,,541,
134,patrick j. kennedy,patrick,j.,kennedy,,5628,K000113
135,dale e. kildee,dale,e.,kildee,,7990,K000172
136,edward j. markey,edward,j.,markey,,7972,M000133
137,george miller,george,,miller,,7812,M000725
138,solomon p. ortiz,solomon,p.,ortiz,,880,
139,frank pallone jr.,frank,,pallone,jr.,887,
140,owen b. pickett,owen,b.,pickett,,916,P000326
141,richard w. pombo,richard,w.,pombo,,921,P000419
142,george radanovich,george,,radanovich,,7378,R000004
143,john christopher,john,,christopher,,,
144,john m. berry,john,m.,berry,,,
145,alasdair coyne,alasdair,,coyne,,,
146,derrick crandall,derrick,,crandall,,,
147,robert,robert,,robert,,,
148,holly fretwell,holly,,fretwell,,,
149,myrna johnson,myrna,,johnson,,,
150,lyle laverty,lyle,,laverty,,,
