id,speech_id,person_id,surname
1,2923502,18413,corker
2,2923503,182,cardin
3,2923504,18413,corker
4,2923505,18413,corker
5,2923506,27586,coons
6,2923507,18413,corker
7,2923508,18413,corker
8,2923509,18413,corker
9,2923510,18413,corker
10,2923511,18413,corker
11,2923512,18413,corker
12,2923513,18413,corker
13,2923514,18413,corker
14,2923515,18413,corker
15,2923516,18413,corker
16,2923517,18413,corker
17,2923518,18413,corker
18,2923519,182,cardin
19,2923520,182,cardin
20,2923521,182,cardin
21,2923522,182,cardin
22,2923523,182,cardin
23,2923524,182,cardin
24,2923525,18413,corker
25,2923526,11538,gardner
26,2923527,11538,gardner
27,2923528,11538,gardner
28,2923529,11538,gardner
29,2923530,11538,gardner
30,2923531,11538,gardner
31,2923532,11538,gardner
32,2923533,11538,gardner
33,2923534,11538,gardner
34,2923535,11538,gardner
35,2923536,11538,gardner
36,2923537,11538,gardner
37,2923538,11538,gardner
38,2923539,11538,gardner
39,2923540,18413,corker
40,2923541,18413,corker
41,2923542,18413,corker
42,2923543,182,cardin
43,2923544,18413,corker
44,2923545,11538,gardner
45,2923546,18413,corker
46,2923547,18413,corker
47,2923548,18413,corker
48,2923549,18413,corker
49,2923550,18413,corker
50,2923551,18413,corker
51,2923552,18413,corker
52,2923553,18413,corker
53,2923554,18413,corker
54,2923555,18413,corker
55,2923556,18413,corker
56,2923557,182,cardin
57,2923558,182,cardin
58,2923559,182,cardin
59,2923560,182,cardin
60,2923561,18413,corker
61,2923562,34505,perdue
62,2923563,34505,perdue
63,2923564,18413,corker
64,2923565,27586,coons
65,2923566,27586,coons
66,2923567,18413,corker
67,2923568,27586,coons
68,2923569,18413,corker
69,2923570,27586,coons
70,2923571,27586,coons
71,2923572,27586,coons
72,2923573,27586,coons
73,2923574,27586,coons
74,2923575,27586,coons
75,2923576,27586,coons
76,2923577,27586,coons
77,2923578,18413,corker
78,2923579,27586,coons
79,2923580,18413,corker
80,2923581,4622,shaheen
81,2923582,4622,shaheen
82,2923583,182,cardin
83,2923584,4622,shaheen
84,2923585,182,cardin
85,2923586,4622,shaheen
86,2923587,4622,shaheen
87,2923588,4622,shaheen
88,2923589,4622,shaheen
89,2923590,4622,shaheen
90,2923591,4622,shaheen
91,2923592,4622,shaheen
92,2923593,4622,shaheen
93,2923594,4622,shaheen
94,2923595,4622,shaheen
