hearing_id,code
19196,Title 46 Section 55305(b)
19205,Title 42 Section 247d-6b(a)
19206,Title 29 Section 152(2)
19206,Title 29 Section 152(3)
19206,Title 29 Section 154(a)
19206,Volume 61 Page 137-38
19206,Title 29 Part 825.106(c)
19208,Title 29 Section 1182(a)
19208,Title 42 Section 12101et seq.
19208,Title 42 Section 12112(a)
19208,Title 42 Section 12112(d)
19208,Title 42 Section 12112(d)(4)(A)
19208,Title 42 Section 12112(d)(4)(B)
19208,Title 42 Section 12201(c)(2)
19208,Title 42 Section 2000ff-1(b)(2)
19208,Title 42 Section 300gg-4(j)(3)(A)
19208,Title 29 Part 2590.702(g)
19210,Title 21 Part 314.92(a)(l)
19210,Title 21 Part 600-680
19210,Title 21 Part 210and 211
19210,"Title 21 Part 600-680,"
19210,Title 21 Part 600-680
19212,Title 8 Section 1182(a)(1)
19217,Title 42 Section 18031(b)(1)(B)
19225,Title 29 Part 101102 and 103
19227,Title 34 Part 600.2
19228,Title 20 Section 1232g
19228,Title 42 Section 13925(a)(20)
19228,Title 42 Section 16921
